source_joinid,vest_joinid,,,,,
6-NS11:I-S-,6-NS11,,,,,
6-SU01:I-N-,6-SU01,,,,,
6-SU02:I-N-,6-SU02,,,,,
6-SU03:I-N-,6-SU03,,,,,
6-SW04:U---,6-SW04,,,,,
6-SY01:I-N-,6-SY01,,,,,
6-SY03:I-N-,6-SY03,,,,,
6-SY04:I-N-,6-SY04,,,,,
6-SY05:I-N-,6-SY05,,,,,
6-SY06:I-N-,6-SY06,,,,,
6-SY07:I-N-,6-SY07,,,,,
6-SY08:I-N-,6-SY08,,,,,
6-SY10:I-N-,6-SY10,,,,,
6-SY12:I-N-,6-SY12,,,,,
6-SY13:I-N-,6-SY13,,,,,
6-SY14:I-N-,6-SY14,,,,,
6-SY15:I-N-,6-SY15,,,,,
6-SY16:I-N-,6-SY16,,,,,
6-SY17:I-N-,6-SY17,,,,,
6-SY18:I-N-,6-SY18,,,,,
6-SY19:I-N-,6-SY19,,,,,
6-WB01:I-S-,6-WB01,,,,,
6-WB02:I-S-,6-WB02,,,,,
6-WB03:I-S-,6-WB03,,,,,
6-WP01:I-N-,6-WP01,,,,,
6-WP03:I-N-,6-WP03,,,,,
6-WP04:I-N-,6-WP04,,,,,
6-WP06:I-N-,6-WP06,,,,,
6-WP08:I-N-,6-WP08,,,,,
6-WX02:I-S-,6-WX02,,,,,
6-WX03:I-S-,6-WX03,,,,,
6-WX05:I-S-,6-WX05,,,,,
6-WX07:I-S-,6-WX07,,,,,
7-RO92,7-R092,,,,,
8-Emery 1,8-1,,,,,
8-Cleveland 10,8-10,,,,,
8-Elmo 11,8-11,,,,,
8-Green River 12,8-12,,,,,
8-Ferron 2,8-2,,,,,
8-Ferron 3,8-3,,,,,
8-Clawson 4,8-4,,,,,
8-Orangeville 5,8-5,,,,,
8-Castle Dale 6,8-6,,,,,
8-Castle Dale 7,8-7,,,,,
8-Huntington 8,8-8,,,,,
8-Huntington 9,8-9,,,,,
8-Canvas,,,,,,
9-Antimony AN1:1,9-AN1,,,,,
9-Boulder BO2:1,9-BO2,,,,,
9-Bryce Canyon City BR11:1,9-BR11,,,,,
9-Cannonville CA3:1,9-CA3,,,,,
9-Escalante ES4:1,9-ES4,,,,,
9-Hatch HA5:1,9-HA5,,,,,
9-Henrieville HE6:1,9-HE6,,,,,
9-Panguitch 1 PA7:1,9-PA7,,,,,
9-Panguitch 2 PA8:1,9-PA8,,,,,
9-Ticaboo TI9:1,9-TI9,,,,,
9-Tropic TR10:1,9-TR10,,,,,
10-01 Moab 1:70,10-01:70,,,,,
10-02 Moab 2:69,10-02:69,,,,,
10-03 Moab 2:70,10-02:70,,,,,
10-04 Moab 3:70,10-03:70,,,,,
10-05 Moab 4:69,10-04:69,,,,,
10-06 Moab 4:70,10-04:70,,,,,
10-07 Moab 5:69,10-05:69,,,,,
10-08 Moab 5:70,10-05:70,,,,,
10-09 Thompson 6:69,10-06:69,,,,,
10-10 Thompson 6:70,10-06:70,,,,,
10-11 Green River 7:69,10-07:69,,,,,
10-12 Green River 7:70,10-07:70,,,,,
10-13 Castle Valley 8:69,10-08:69,,,,,
10-14 Moab 9:69,10-09:69,,,,,
10-15 Moab 9:70,10-09:70,,,,,
10-16 Moab 10:70,10-10:70,,,,,
10-17 Moab 11:69,10-11:69,,,,,
10-18 Moab 11:70,10-11:70,,,,,
11-CC01,11-CC 1,,,,,
11-CC02,11-CC 2,,,,,
11-CC03,11-CC 3,,,,,
11-CC04,11-CC 4,,,,,
11-CC05,11-CC 5,,,,,
11-CC06,11-CC 6,,,,,
11-CC07,11-CC 7,,,,,
11-CC08,11-CC 8,,,,,
11-CC09,11-CC 9,,,,,
11-CC10,11-CC 10,,,,,
11-CC11,11-CC 11,,,,,
11-CC12,11-CC 12,,,,,
11-CC13,11-CC 13,,,,,
11-CC14,11-CC 14,,,,,
11-CC15,11-CC 15,,,,,
11-CC16,11-CC 16,,,,,
11-CC17,11-CC 17,,,,,
11-CC18,11-CC 18,,,,,
11-CC19,11-CC 19,,,,,
11-CC20,11-CC 20,,,,,
11-CC21,11-CC 21,,,,,
11-CC22,11-CC 22,,,,,
11-CC23,11-CC 23,,,,,
11-CC24,11-CC 24,,,,,
11-CC25,11-CC 25,,,,,
11-CH1,11-CH 1,,,,,
11-ENO1,11-ENO 1,,,,,
11-ENO2,11-ENO 2,,,,,
11-ENO3,11-ENO 3,,,,,
11-ENO4,11-ENO 4,,,,,
11-IRON UT,,,,,,
12-EU.1,12-EU:1,,,,,
12-EU.2,12-EU:2,,,,,
12-EU.3,12-EU:3,,,,,
12-EU.4,12-EU:4,,,,,
12-EU.5,12-EU:5,,,,,
12-LE06.1,12-LE06:1,,,,,
12-LE06.2,12-LE06:2,,,,,
12-NE01.4,12-NE01:4,,,,,
12-NE01.5,12-NE01:5,,,,,
12-NE02.3,12-NE02:3,,,,,
12-NE02.4,12-NE02:4,,,,,
12-NE02.5,12-NE02:5,,,,,
12-NE03.2,12-NE03:2,,,,,
12-NE03.3,12-NE03:3,,,,,
13-K1,13-KA1,,,,,
13-K2,13-KA2,,,,,
13-K3,13-KA3,,,,,
13-K4,13-KA4,,,,,
13-TOTALS,,,,,,
14-Abraham 14,14-ABR14,,,,,
14-Delta 17,14-DEL17,,,,,
14-Delta 18,14-DEL18,,,,,
14-Deseret-Oasis 05,14-DO5,,,,,
14-Fillmore 01,14-FIL1,,,,,
14-Fillmore 02,14-FIL2,,,,,
14-Flowell 25,14-FLO25,,,,,
14-Garrison 16,14-GAR16,,,,,
14-Hinckley 11,14-HIN11,,,,,
14-Holden 08,14-HOLD8,,,,,
14-Kanosh 04,14-KAN4,,,,,
14-Leamington 07,14-LEAM7,,,,,
14-Lynndyl 19,14-LYN19,,,,,
14-Meadow 03,14-MEA3,,,,,
14-Oak City 06,14-OAK6,,,,,
14-Scipio 09,14-SCIP9,,,,,
14-Sutherland 20,14-SUTH20,,,,,
15-Mountain Green 1.1,15-1:1,,,,,
15-City 10.4,15-10:4,,,,,
15-City 11.4,15-11:4,,,,,
15-City 12.4,15-12:4,,,,,
15-No Mogan 13.5,15-13:5,,,,,
15-No Mogan 14.5,15-14:5,,,,,
15-Croydon 15.5,15-15:5,,,,,
15-Mountain Green 2.1,15-2:1,,,,,
15-Mountain Green 3.1,15-3:1,,,,,
15-Peterson 4.2,15-4:2,,,,,
15-Peterson 5.2,15-5:2,,,,,
15-Peterson 6.2,15-6:2,,,,,
15-Canyon Creek 7.3,15-7:3,,,,,
15-Canyon Creek 8.3,15-8:3,,,,,
15-Canyon Creek 9.3,15-9:3,,,,,
16-Marysvale 1-1,16-1:1,,,,,
16-Marysvale 1-2,16-1:2,,,,,
16-Junction 2,16-2:2,,,,,
16-Circleville 3-3,16-3:3,,,,,
16-Circleville 3-5,16-3:5,,,,,
16-Kingston 4,16-4:4,,,,,
16-Greenwich 5,16-5:4,,,,,
19-Precinct 1,19-1,,,,,
19-Precinct 10,19-10,,,,,
19-Precinct 11,19-11,,,,,
19-Precinct 12,19-12,,,,,
19-Precinct 2,19-2,,,,,
19-Precinct 3,19-3,,,,,
19-Precinct 4,19-4,,,,,
19-Precinct 5,19-5,,,,,
19-Precinct 6,19-6,,,,,
19-Precinct 7,19-7,,,,,
19-Precinct 8,19-8,,,,,
19-Precinct 9,19-9,,,,,
20-AXTSSD Axtell SSD,20-AXTSSD,,,,,
20-AXTU Axtell,20-AXTU,,,,,
20-CENM Centerfield City,20-CENM,,,,,
20-EPH1M Ephraim City 1 (North),20-EPH1M,,,,,
20-EPH2M Ephraim City 2 (South W),20-EPH2M,,,,,
20-EPH3M Ephraim City (South E),20-EPH3M,,,,,
20-EPHU Ephraim Unincorporated,20-EPHU,,,,,
20-FAYM Fayette Town,20-FAYM,,,,,
20-FRVM Fairview City,20-FRVM,,,,,
20-FRVU Fairview Unicorporated,20-FRVU,,,,,
